neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,availability_365,cancellation_policy,price
17,7,1,2,1.0,1.0,1.0,4,195,1,84.0
17,0,0,4,1.0,2.0,2.0,4,0,0,160.0
17,0,0,4,1.5,2.0,2.0,4,0,2,110.0
17,0,0,4,1.0,2.0,2.0,4,116,1,150.0
17,3,1,2,1.0,1.0,1.0,4,89,2,80.0
17,0,0,5,1.0,2.0,3.0,4,153,2,225.0
17,0,1,2,1.5,1.0,1.0,4,305,1,65.0
17,7,0,8,1.0,3.0,4.0,4,320,2,275.0
17,7,0,8,2.5,3.0,3.0,4,288,2,300.0
17,7,0,5,1.5,3.0,3.0,4,23,1,185.0
17,0,0,4,1.0,1.0,1.0,4,59,1,175.0
17,0,0,5,1.0,2.0,3.0,4,364,0,175.0
17,0,1,2,1.0,1.0,2.0,4,87,0,75.0
17,0,1,2,1.0,1.0,1.0,3,350,2,60.0
17,0,0,3,2.0,2.0,2.0,4,0,0,100.0
17,10,1,1,1.0,1.0,1.0,4,27,1,75.0
17,10,0,2,1.0,0.0,1.0,4,9,2,94.0
17,10,1,2,1.0,1.0,1.0,4,255,1,85.0
17,0,1,2,1.0,1.0,1.0,4,163,2,75.0
17,0,0,6,2.0,3.0,3.0,4,309,2,168.0
17,0,1,2,1.0,1.0,1.0,4,89,0,60.0
17,0,0,2,1.0,1.0,1.0,4,303,2,135.0
17,1,1,2,1.0,1.0,1.0,4,300,1,119.0
17,3,0,5,1.0,2.0,2.0,4,350,2,275.0
17,7,0,10,3.5,4.0,7.0,4,0,0,750.0
17,3,1,1,1.0,1.0,1.0,4,119,1,65.0
17,7,1,2,1.0,1.0,1.0,4,295,1,71.0
17,0,1,2,1.0,1.0,1.0,4,305,1,55.0
17,0,1,2,2.0,1.0,1.0,4,0,0,95.0
17,0,0,4,1.0,2.0,2.0,4,58,2,220.0
17,7,1,2,1.0,1.0,1.0,4,0,0,54.0
17,0,1,2,1.0,1.0,1.0,2,30,0,70.0
17,7,0,4,1.0,2.0,3.0,4,303,1,135.0
17,7,0,6,1.5,3.0,3.0,4,359,2,300.0
17,0,1,2,1.0,1.0,1.0,4,72,1,110.0
17,7,1,2,1.0,1.0,1.0,4,137,1,70.0
17,7,1,1,1.0,1.0,1.0,4,131,1,75.0
